timestamp,value
2025-10-28T07:20:20Z,97.3
2025-10-28T07:21:20Z,97.2
2025-10-28T07:22:20Z,97.2
2025-10-28T07:23:20Z,97.1
2025-10-28T07:24:20Z,97.2
2025-10-28T07:25:20Z,97.1
2025-10-28T07:26:20Z,97.1
2025-10-28T07:27:20Z,97.2
2025-10-28T07:28:20Z,97.3
2025-10-28T07:29:20Z,97.3
2025-10-28T07:30:20Z,97.3
2025-10-28T07:31:20Z,97.3
2025-10-28T07:32:20Z,97.3
2025-10-28T07:33:20Z,97.2
2025-10-28T07:34:20Z,97.2
2025-10-28T07:35:20Z,97.2
2025-10-28T07:36:20Z,97.2
2025-10-28T07:37:20Z,50.0
2025-10-28T07:38:20Z,97.1
2025-10-28T07:39:20Z,97.1
2025-10-28T07:40:20Z,97.1
2025-10-28T07:41:20Z,50.0
2025-10-28T07:42:20Z,97.1
2025-10-28T07:43:20Z,97.1
2025-10-28T07:44:20Z,97.0
2025-10-28T07:45:20Z,97.0
2025-10-28T07:46:20Z,97.0
2025-10-28T07:47:20Z,97.0
2025-10-28T07:48:20Z,96.9
2025-10-28T07:49:20Z,96.9
2025-10-28T07:50:20Z,50.0
2025-10-28T07:51:20Z,97.0
2025-10-28T07:52:20Z,97.1
2025-10-28T07:53:20Z,97.1
2025-10-28T07:54:20Z,97.1
2025-10-28T07:55:20Z,97.1
2025-10-28T07:56:20Z,97.2
2025-10-28T07:57:20Z,50.0
2025-10-28T07:58:20Z,97.2
2025-10-28T07:59:20Z,97.2
2025-10-28T08:00:20Z,50.0
2025-10-28T08:01:20Z,97.1
2025-10-28T08:02:20Z,50.0
2025-10-28T08:03:20Z,50.0
2025-10-28T08:04:20Z,97.0
2025-10-28T08:05:20Z,97.0
2025-10-28T08:06:20Z,50.0
2025-10-28T08:07:20Z,50.0
2025-10-28T08:08:20Z,97.0
2025-10-28T08:09:20Z,97.0
2025-10-28T08:10:20Z,97.0
2025-10-28T08:11:20Z,50.0
2025-10-28T08:12:20Z,97.2
2025-10-28T08:13:20Z,50.0
2025-10-28T08:14:20Z,97.5
2025-10-28T08:15:20Z,97.4
2025-10-28T08:16:20Z,97.3
2025-10-28T08:17:20Z,97.1
2025-10-28T08:18:20Z,97.0
2025-10-28T08:19:20Z,97.0
2025-10-28T08:20:20Z,97.0
2025-10-28T08:21:20Z,96.9
2025-10-28T08:22:20Z,96.9
2025-10-28T08:23:20Z,50.0
2025-10-28T08:24:20Z,96.9
2025-10-28T08:25:20Z,96.9
2025-10-28T08:26:20Z,97.0
2025-10-28T08:27:20Z,97.0
2025-10-28T08:28:20Z,97.1
2025-10-28T08:29:20Z,97.1
2025-10-28T08:30:20Z,97.1
2025-10-28T08:31:20Z,97.2
2025-10-28T08:32:20Z,97.2
2025-10-28T08:33:20Z,97.2
2025-10-28T08:34:20Z,97.2
2025-10-28T08:35:20Z,50.0
2025-10-28T08:36:20Z,97.4
2025-10-28T08:37:20Z,97.4
2025-10-28T08:38:20Z,50.0
2025-10-28T08:39:20Z,97.1
2025-10-28T08:40:20Z,97.2
2025-10-28T08:41:20Z,97.2
2025-10-28T08:42:20Z,50.0
2025-10-28T08:43:20Z,97.2
2025-10-28T08:44:20Z,50.0
2025-10-28T08:45:20Z,50.0
2025-10-28T08:46:20Z,97.3
2025-10-28T08:47:20Z,97.4
2025-10-28T08:48:20Z,50.0
2025-10-28T08:49:20Z,50.0
2025-10-28T08:50:20Z,50.0
2025-10-28T08:51:20Z,97.5
2025-10-28T08:52:20Z,50.0
2025-10-28T08:53:20Z,50.0
2025-10-28T08:54:20Z,50.0
2025-10-28T08:55:20Z,50.0
2025-10-28T08:56:20Z,50.0
2025-10-28T08:57:20Z,50.0
2025-10-28T08:58:20Z,50.0
2025-10-28T08:59:20Z,97.4
2025-10-28T09:00:20Z,97.4
2025-10-28T09:01:20Z,97.3
2025-10-28T09:02:20Z,97.4
2025-10-28T09:03:20Z,97.4
2025-10-28T09:04:20Z,97.4
2025-10-28T09:05:20Z,97.4
2025-10-28T09:06:20Z,97.4
2025-10-28T09:07:20Z,50.0
2025-10-28T09:08:20Z,50.0
2025-10-28T09:09:20Z,50.0
2025-10-28T09:10:20Z,50.0
2025-10-28T09:11:20Z,97.4
2025-10-28T09:12:20Z,50.0
2025-10-28T09:13:20Z,97.3
